Date,Sleep Time,Wake Time,Hours,Note
10/31/22,18:32,23:34,5.04,
10/30/22,14:33,23:49,9.26,
10/29/22,19:47,22:00,2.21,
10/29/22,12:34,19:46,7.19,
10/28/22,15:09,21:57,6.79,
10/27/22,12:31,18:28,5.93,
10/26/22,7:28,12:15,4.78,
10/25/22,15:22,19:33,4.18,
10/25/22,13:55,15:15,1.33,
10/25/22,6:10,8:54,2.73,
10/24/22,7:47,15:25,7.64,
10/23/22,7:24,15:00,7.6,
10/22/22,13:22,16:45,3.37,
10/22/22,5:45,10:07,4.35,
10/21/22,7:39,15:13,7.57,
10/20/22,8:08,14:18,6.16,
10/19/22,7:43,13:03,5.33,
10/19/22,1:43,5:50,4.11,
10/18/22,2:26,10:51,8.42,
10/18/22,1:29,2:20,0.85,
10/17/22,2:16,10:25,8.15,
10/16/22,0:54,8:28,7.56,
10/15/22,20:10,5:00,8.83,
10/14/22,1:08,6:37,5.49,
10/13/22,21:19,5:19,8,
10/12/22,16:40,0:41,8.01,
10/10/22,13:10,20:54,7.73,
10/09/22,13:48,21:23,7.58,
10/08/22,8:47,19:54,11.1,
10/07/22,16:58,20:33,3.57,
10/06/22,7:30,17:42,10.2,
10/05/22,11:51,15:55,4.05,
10/05/22,5:43,9:42,3.98,
10/04/22,14:41,16:52,2.17,
10/04/22,13:00,14:41,1.67,
10/04/22,5:15,10:00,4.74,
10/03/22,10:38,14:44,4.1,
10/03/22,7:49,9:56,2.11,
10/02/22,10:13,13:56,3.7,
10/02/22,1:48,9:14,7.42,
10/02/22,1:15,1:19,0.06,
10/01/22,23:15,12:11,12.9,
09/30/22,2:33,12:11,9.63,
09/27/22,23:29,8:23,8.9,
09/26/22,23:32,6:25,6.88,
09/24/22,19:02,0:35,5.54,
09/23/22,18:46,19:01,0.25,
09/22/22,10:34,20:36,10,
09/20/22,10:38,16:19,5.68,
09/20/22,5:03,10:32,5.48,
09/19/22,6:39,13:27,6.8,
09/19/22,4:23,6:39,2.26,
09/17/22,7:08,11:46,4.63,
09/17/22,3:18,6:41,3.38,
09/16/22,4:22,10:58,6.6,
09/15/22,1:29,11:21,9.85,
09/14/22,23:40,9:06,9.43,
09/13/22,20:00,6:18,10.3,
09/12/22,22:19,4:06,5.78,
09/11/22,4:24,7:53,3.48,
09/11/22,18:25,2:12,7.77,
09/09/22,15:00,23:10,8.17,
09/08/22,12:19,20:19,7.99,
09/07/22,14:58,23:45,8.78,
09/06/22,11:56,19:22,7.44,
09/05/22,10:58,17:55,6.94,
09/05/22,5:39,7:34,1.91,
09/04/22,6:34,13:36,7.04,
09/03/22,13:16,15:03,1.78,
09/03/22,4:26,13:14,8.81,
09/03/22,3:30,4:15,0.75,
09/02/22,6:22,12:29,6.1,
09/01/22,10:45,13:19,2.56,
09/01/22,2:10,10:43,8.54,
08/31/22,2:38,10:44,8.09,
08/30/22,3:20,9:59,6.65,
08/29/22,3:12,11:23,8.18,
08/28/22,5:40,9:03,3.39,
08/28/22,23:54,4:43,4.81,
